,year,month,author_name,paper_title,process,frequency,sat_power,pae_max,P1dB,PAE_1dB,gain,EVM,modulation_speed,average_pout,average_pae,modulation_type,PA_type,node
0,2000,6,Giry,A 1.9 GHz low voltage CMOS power amplifier for medium power RF applications,process.bulk,1.9,23.5,35.0,21.5,28.0,24.6,,,22.0,,Pi/4 DQPSK,type.unknown,350
1,2000,0,Chen,RF Power Amplifier Integration in CMOS Technology,process.bulk,2.4,22.0,44.0,,,11.0,,,,,unknown,type.unknown,240
2,2001,5,Gerna,1W 900 MHz direct conversion CMOS transmitter for paging applications,process.bulk,0.9,30.0,46.7,27.25,,,,0.02,25.0,,2GFSK,type.unknown,350
3,2001,5,Yoo,A common-gate switched 0.9-W class-E power amplifier with 41% PAE in 0.25-um CMOS,process.bulk,0.9,29.54,46.0,,,,,,29.54,41.0,GMSK (BT=0.3),type.unknown,250
4,2001,2,Kuo,A 1.5 W class-F RF power amplifier in 0.2um CMOS technology,process.bulk,0.9,31.76,43.0,,,,,,,,unknown,type.unknown,200
5,2001,2,Gupta,Design and optimization of CMOS RF power amplifiers,process.bulk,0.9,20.0,30.0,18.0,20.0,,,,,,unknown,type.unknown,600
6,2001,2,Shirvani,A CMOS RF power amplifier with parallel amplification for efficient power control,process.bulk,1.4,28.83,49.0,,,,,,,,unknown,type.unknown,250
7,2001,2,Fallesen,A 1 W 0.35um CMOS power amplifier for GSM-1800 with 45% PAE,process.bulk,1.73,30.4,45.0,,,,,,,,unknown,type.unknown,350
8,2001,5,Fallesen,A 1 W CMOS power amplifier for GSM-1800 with 55% PAE,process.bulk,1.75,,,,,,,,30.4,55.0,GSM1800 pulsed mode,type.unknown,350
9,2001,6,Heo,A 1.9-GHz DECT CMOS power amplifier with fully integrated multilayer LTCC passives,process.bulk,1.9,26.0,48.0,25.0,47.0,17.0,,,,,unknown,type.unknown,800
10,2001,6,Fortes,A second harmonic class-F power amplifier in standard CMOS technology,process.bulk,1.9,22.8,42.0,21.2,34.0,10.5,,,,,unknown,type.unknown,600
11,2001,0,Chen,A 2.4 GHz Integrated CMOS Power Amplifier with Micromachined Inductors,process.bulk,2.4,20.0,31.0,18.0,29.0,10.0,,,,,unknown,type.unknown,240
12,2001,0,Heo,A High Efficiency 0.25-um CMOS PA with LTCC Multi-layer High-Q Integrated Passives for 2.4 GHz ISM Band,process.bulk,2.4,24.0,47.0,23.0,45.0,18.0,,,,,unknown,type.unknown,250
13,2002,8,Shirvani,A CMOS RF power amplifier with parallel amplification for efficient power control,process.bulk,1.4,24.83,49.0,,,,,,,,unknown,type.unknown,250
14,2002,0,K.K.O,CMOS Components for 802.1 1 b Wireless LAN Applications,process.bulk,2.4,,,23.0,,,,11.0,20.0,17.0,802.11b,type.unknown,250
15,2002,0,Sowlati,A 2.4GHz 0.18µm CMOS Self-Biased Cascode Power Amplifier with 23dBm Output Power,process.bulk,2.4,23.5,45.0,21.0,19.0,38.0,,1.0,,,Bluetooth,type.unknown,180
16,2002,3,Aoki,Fully Integrated CMOS Power Amplifier Design Using the Distributed Active-Transformer Architecture,process.bulk,2.4,33.4,31.0,,,8.5,,,,,unknown,type.analog,350
17,2002,0,Doan,Performance of a CMOS Bluetooth Transceiver IC with Copper RF Passives,process.bulk,2.4,,,5.0,,,,,,,unknown,type.unknown,350
18,2002,12,Zargari,A 5-GHz CMOS Transceiver for IEEE 802.11a Wireless LAN Systems,process.bulk,5.0,22.0,,,,24.0,-32.62,54.0,12.5,,802.11a OFDM(64QAM),type.analog,250
19,2003,6,Aoki,"A fully-integrated 1.8-V, 2.8-W, 1.9-GHz, CMOS power amplifier",process.bulk,1.9,34.47,50.0,,,27.0,,,,,unknown,type.unknown,180
20,2003,0,Point,An RF CMOS Transmitter Integrating a Power Amplifier and a TransmitReceive Switch for 802.1 lb Wireless Local Area Network Applications,process.bulk,2.4,,,21.0,,,,,16.5,,802.11b,type.unknown,250
21,2003,8,Sowlati,A 2.4-GHz 0.18-μm CMOS self-biased cascode power amplifier,process.bulk,2.4,23.5,45.0,32.0,32.0,,,1.0,,,Bluetooth GFSK,type.analog,180
22,2003,0,Ishikuro,A Single-Chip CMOS Bluetooth Transceiver with 1.5MHz IF and Direct Modulation Transmitter,process.bulk,2.4,4.0,,,,,,,,,Bluetooth,type.unknown,180
23,2003,2,Yen,A 0.25-μm 20-dBm 2.4-GHz CMOS power amplifier with an integrated diode linearizer,process.bulk,2.45,22.0,30.0,20.0,28.0,11.2,,0.0486,,,Pi/4 DQPSK,type.unknown,250
24,2003,0,Khannu,A CMOS Power Amplifier With Power Control and T/R Switch for 2.45-GHz BluetootWISM Band Applications,process.bulk,2.45,3.5,16.0,,,,,,,,unknown,type.unknown,180
25,2003,12,Vassiliou,A Single-Chip Digitally Calibrated 5.15–5.825-GHz 0.18-um CMOS Transceiver for 802.11a Wireless LAN,process.bulk,5.25,,,6.0,,,-33.0,54.0,-5.0,,802.11a OFDM(64QAM),type.analog,180
26,2003,12,Behzad,A 5-GHz direct-conversion CMOS transceiver utilizing automatic frequency control for the IEEE 802.11a wireless LAN standard,process.bulk,5.28,23.0,19.0,,,,-25.0,54.0,12.8,9.2,802.11a OFDM(64QAM),type.analog,180
27,2004,6,Choi,A 900 MHz GSM PA in 250 nm CMOS with breakdown voltage protection and programmable conduction angle,process.bulk,0.9,,,,,,,,31.61,43.0,GSM,type.unknown,250
28,2004,0,Zargari,A Single-Chip Dual-Band Tri-Mode CMOS Transceiver for IEEE 802.11a/b/g WLAN,process.bulk,2.4,8.0,,,,,-32.0,54.0,5.0,,OFDM(64QAM),type.unknown,250
29,2004,12,Zargari,A single-chip dual-band tri-mode CMOS transceiver for IEEE 802.11a/b/g wireless LAN,process.bulk,2.4,,,,,,-32.0,54.0,5.0,,802.11g OFDM(64QAM),type.analog,250
30,2004,0,Eo,A 2.4GHzE.2GHz CMOS Power Amplifier for Dual-B and Applications,process.bulk,2.4,9.7,,7.9,,,,,,,unknown,type.unknown,180
31,2004,0,Banbury,A CMOS 5.5/2.4 GHz Dual-band Smart-antenna Transceiver with a Novel RF Dual-band Phase Shifter for WLAN 802.11a/b/g,process.bulk,2.4,,,11.0,,,,,,,unknown,type.unknown,180
32,2004,0,Staszewski,All-Digital Phase-Domain TX Frequency Synthesizer for Bluetooth Radios in 0.13µm CMOS,process.bulk,2.4,2.5,,,,,,,,,Bluetooth,type.unknown,130
33,2004,0,Zargari,A Single-Chip Dual-Band Tri-Mode CMOS Transceiver for IEEE 802.11a/b/g WLAN,process.bulk,5.0,9.0,,,,,-30.0,54.0,5.0,,OFDM(64QAM),type.unknown,250
34,2004,0,Grewing,"Fully Integrated Distributed Power Amplifier in CMOS Technology, optimized for UWB Transmitters",process.bulk,5.0,,,3.5,,17.0,,,,,unknown,type.unknown,130
35,2004,0,Eo,High Efficiency %HZ CMOS Power Amplifier with Adaptive Bias Control Circuit,process.bulk,5.0,20.0,18.0,19.2,17.5,7.1,,,,,unknown,type.unknown,180
36,2004,1,Wang,0.18-um CMOS Push-Pull Power Amplifier With Antenna in IC Package,process.bulk,5.2,19.5,32.0,15.0,12.5,27.0,,,,,unknown,type.unknown,180
37,2004,0,Eo,A 2.4GHzE.2GHz CMOS Power Amplifier for Dual-B and Applications,process.bulk,5.2,19.5,,17.1,15.3,,,,,,unknown,type.unknown,180
38,2004,11,Eo,A Fully Integrated 24-dBm CMOS Power Amplifier for 802.11a WLAN Applications,process.bulk,5.25,24.1,20.0,21.8,13.1,21.0,,,,,unknown,type.unknown,180
