,Year,Month,Last Name (1st Author),Paper Title,Process,CW Performance,Frequency (GHz),Psat (dBm),PAEmax (%),PA Efficiency Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),RF PA Note (Analog PA or Digital PA),Process node
0,2000,6,Cao,"A 3.2 V, 45% efficient, novel Class AB+C CDMA MMIC power amplifier using quasi enhancement mode PHEMTs",GaAs,,0.8,,,,,,33.1,,,,29,45.8,CDMA,,AlGaAs/InGaAs/GaAs PHEMT
1,2000,6,Cao,"A 3.2 V, 45% efficient, novel Class AB+C CDMA MMIC power amplifier using quasi enhancement mode PHEMTs",GaAs,,0.8,,,,,,33.1,,,,29,45.7,CDMA,,AlGaAs/InGaAs/GaAs PHEMT
2,2005,8,Nam,A handset power amplifier with high efficiency at a low level using load-modulation technique,GaAs,,0.8,30.8,48.7,PAE,,,29.8,,,1.2288,23,39.8,IS-95A,,InGaP/GaAs
3,2007,6,Hun Ji,Concurrent Dual-Band Class-E Power Amplifier Using Composite Right/Left-Handed Transmission Lines,GaAs,,0.8,22.4,43,PAE,20,38,,,,,,,,,
4,2011,9,Yamamoto,A 2.5-V Low-Reference-Voltage 2.8-V Low- Collector–Voltage Operation 0.8–0.9-GHz Broadband CDMA BiFET Power Amplifier With an Input SPDT Band Select Switch ,GaAs,,0.8,,,,,,27.6,,,,28,36,N-CDMA (J-/W-CDMA),,BiFET 
5,2013,6,Motoyama,Stacked FET structure for multi-band mobile terminal power amplifier module,GaAs,,0.8,,,,,,,,,,28.5,40,WCDMA release 99,,HEMT
6,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.814,34.3,57.5,PAE,,,23.5,,,,29,35,2.5G/EDGE,,GaAs HBT
7,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.814,34.3,57.5,PAE,,,23.5,,,,29,36,3G/W-CDMA,,GaAs HBT
8,2020,8,Refai,A Highly Efficient Linear Multimode Multiband Class-J Power Amplifier Utilizing GaAs HBT for Handset Modules,GaAs HBT,0.814-0.915,0.814,34.3,57.5,PAE,,,23.5,,,,34.3,62.2,2G/GSM,,GaAs HBT
9,2004,6,Chen,An envelope elimination and restoration power amplifier using a CMOS dynamic power supply circuit,GaAs,,0.836,,,,,,12,,,,25,48,CDMA,,GaAs/AlGaAs
