,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
0,2022,6,Shenoy,A GaN HF-band Power Amplifier using Class-D Topology for Jupiter Ice Penetrating Radar,GaN,0.009,0.009,46.7,82,Not Done,,,,,,,,,,,
1,2018,1,Raza,Design of a 70 W wideband GaN HEMT power amplifier with 60% efficiency over 100-1000 MHz bandwidth,GaN,,0.1,48.5,60,DE,,,25,,,,,,,,GaN
2,2018,5,Liu,UHF-Band 4kW Broadband High Efficiency GaN Amplifier,GaN,,0.36,56.9,62,PAE,,,,,,,,,,,GaN HEMT
3,2018,1,Malik,Development of Efficient High Power Amplifier With More Than an Octave Bandwidth ,GaN,,0.5,38.3,63.8,PAE,34,50,13.8,,,,,,,,GaN
4,2022,8,Zhou,Design of a Compact GaN Power Amplifier With High Efficiency and Beyond Decade Bandwidth,GaN,0.35 - 3.55,0.5,44,65,DE,,,10,LTE,,20,35.2,33 (DE),,,CG2H40010F
5,2022,2,Mary,Design of Ultra-Wideband Power Amplifier Based on Extended Resistive Continuous Class B/J Mode,GaN,0.5-3.25,0.5,39,60,PAE,,,9,LTE,<-27 ACPR,20,,30.7,,,CG2H40010F
6,2020,8,Rubio,Design of a Broadband Power Amplifier Based on Power and Efficiency Contour Estimation,GaN,0.45GHz - 3.4 GHz,0.55,41.5,70.4,PAE,,,16,,,,,,,,Wolfspeed CGH40025
7,2020,8,Rubio,Design of a Broadband Power Amplifier Based on Power and Efficiency Contour Estimation,GaN,0.45GHz - 3.4 GHz,0.55,41.5,70.4,PAE,,,16,,,,,,,,Wolfspeed CGH40025
8,2021,1,Cao,Asymmetrical Load Modulated Balanced Amplifier With Continuum of Modulation Ratio and Dual-Octave Bandwidth ,GaN ,0.55-2.2,0.55,40,58,PAE,36,,18,LTE,,20,30,52 (DE),,,Wolfspeed CGH40010F
9,2021,6,Zhang,Design of a Quadband Doherty Power Amplifier With Large Power Back-Off Range,GaN,"0.5-0.7, 1.5-1.7, 2.5-2.7, 3.5-3.7",0.6,43.5,65,DE,,,12.5,LTE,,40,34.3,42.3,,,CGH40010F 
10,2019,7,Yamaoka,70 % Efficient Dual-Input Doherty-Outphasing Power Amplifier for Large PAPR Signals,GaN(CGH40010F & CGH40045F),,0.622,39.3,66.6,DE,,,11.8,,,,,,,,
11,2018,8,Vegas,UHF Class-E Power Amplifier Design for Wide Range Variable Resistance Operation,GaN,,0.7,47.4,82.2,DE,,,,,,,36.4,52.5 (DE),"LTE (1.4 MHz, 9.6 dB PAPR)",,GaN HEMT
12,2018,6,Saad,Ultra-Wideband Doherty-Like Power Amplifier,GaN,,0.7,47.2,65,DE,,,14,,,50,37,50(DE),five 10 MHz LTE carriers with 9 dB PAPR,," 6 W GaN-HEMT device, CGHV1F006S"
13,2019,7,Vegas,UHF Class E/F2 Outphasing Transmitter for 12 dB PAPR Signals,GaN(CGH3503F),,0.7,46.7,70,DE,,,,LTE(10MHz),,,,42.9,,,
14,2020,8,Rubio,Design of a Broadband Power Amplifier Based on Power and Efficiency Contour Estimation,GaN,0.45GHz - 3.4 GHz,0.7,42.5,64,PAE,,,14,9.5 dB PAPR,,,33.7,24,OFDM,,Wolfspeed CGH40025
15,2020,8,Rubio,Design of a Broadband Power Amplifier Based on Power and Efficiency Contour Estimation,GaN,0.45GHz - 3.4 GHz,0.7,42.5,64,PAE,,,14,9.5 dB PAPR,,,33.7,24,OFDM,,Wolfspeed CGH40025
16,2021,4,Barthwal,Dual Input Digitally Controlled Broadband Three-Stage Doherty Power Amplifier With Back-Off Reconfigurability,GaN,0.55-0.9,0.7,42,68,DE,,,9.66,LTE,,10,30.5,54.3,,,Wolfspeed CGH40010F
17,2021,6,Garcia,Current-Injected Load-Modulated Outphasing Amplifier for Extended Power Range Operation,GaN,0.7,0.7,45.7,83.2,PAE,,,,LTE,,5,,62,,,CGH35030F
18,2021,,Cordero,Outphasing Class E/F2 Power Amplifier using a Quadrature Hybrid as Non-Osilating Combiner,GaN,0.7,0.7,42.4,75.1,DE,,,,,,,,,,,GaN HEMT
19,2021,7,Han,Design of 0.6-0.8-GHz and 1.6-1.9-GHz Dual-Band PA With Peak PAEs of Over 70% by NPE Method With Dynamical Continuous-Mode Criteria,GaN,"0.6-0.8, 1.6-1.9",0.7,40.5,72,PAE,,,16,,,,,,,,GaN HEMT
20,2012,7,Yan,Design of a 4-W Envelope Tracking Power Amplifier With More Than One Octave Carrier Bandwidth,GaN,,0.725,40,,,,,15,,,,33 - 36,25 - 31,WCDMA (PAR = 6.6 dB),ET,GaN
21,2016,2,Sharma,Generalized Continuous Class-F Harmonic Tuned Power Amplifiers,GaN,,0.75,41,70,PAE,,,15,,,,,,"LTE (20 MHz, 7.6 dB PAPR)",,CGH40010FE GaN HEMT
22,2014,6,Sarbishaei,Concurrent dual-band envelope tracking power amplifier for carrier aggregated systems,GaN,,0.78,39,45,DE,,,,WCDMA 7.5dB PAPR ,-37.72,,38.9,45, WCDMA (7.5 dB PAPR) ,ET,GaN
23,2009,6,Tanany,Broadband GaN switch mode class E power amplifier for UHF applications,GaN,,0.8,46.9,80.6,PAE,44,63,17,,,,,,,,
24,2012,6,Giovannelli,A 80 W broadband GaN HEMT envelope tracking PA harmonically tuned for WCDMA and LTE with 50% average efficiency,GaN,,0.8,,,,,,19.9,,,,49,51.12 (DE),2 WCDMA DL 7.5dB PAPR signals,ET,GaN
