,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
0,2021.0,12,Jyo,An Over 130-GHz-Bandwidth InP-DHBT Baseband Amplifier Module,InP,DC-208,0.0,,,,,,7.5,,,,,,,,250-nm InP DHBT
1,2019.0,11,Kobayashi,140GHz SiGe HBT and 100GHz InP DHBT Broadband Triple-Stacked Distributed Amplifiers with Active Bias Terminations,InP,,2.0,12.0,,,,,10.7,,,,,,,,
2,2019.0,11,Kobayashi,140GHz SiGe HBT and 100GHz InP DHBT Broadband Triple-Stacked Distributed Amplifiers with Active Bias Terminations,InP,,5.0,10.8,,,,,10.0,,,,,,,,
3,2001.0,9,Kehias,"Highest efficiency, linear X-band performance using InP DHBTs - 48% PAE at 30 dB C/IM3",InP,,10.0,16.5,57.0,PAE,15.8,50.1,12.0,,,,,,,,InP
4,2001.0,9,Kehias,"Highest efficiency, linear X-band performance using InP DHBTs - 48% PAE at 30 dB C/IM3",InP,,10.0,16.5,57.0,PAE,15.8,50.1,12.0,,,,,,,,InP
5,2002.0,9,Quach,Ultrahigh-Efficiency Power Amplifier for Space Radar Applications,InP,,10.0,21.0,65.0,PAE,,,11.0,,,,,,,Analog,InP_DHBT(180nm)
6,2002.0,9,Quach,Ultrahigh-Efficiency Power Amplifier for Space Radar Applications,InP,,10.0,21.0,65.0,PAE,,,11.0,,,,,,,Analog,InP_DHBT(180nm)
7,2004.0,6,Yang,Affordable High Performance InP X-band Transceiver Module for Large Aperture Phased Array Applications,InP,,10.0,20.5,61.0,AE,,,12.5,,,,,,,,InP HBT
8,2004.0,6,Yang,Affordable High Performance InP X-band Transceiver Module for Large Aperture Phased Array Applications,InP,,10.0,20.5,61.0,PAE,,,12.5,,,,,,,,InP HBT
9,2019.0,6,Jyo,A 241-GHz-Bandwidth Distributed Amplifierwith 10-dBm P1dB in 0.25-μm InP DHBT Technology,InP,,10.0,,,,10.0,,10.0,,,,,,,,
10,2019.0,11,Kobayashi,140GHz SiGe HBT and 100GHz InP DHBT Broadband Triple-Stacked Distributed Amplifiers with Active Bias Terminations,InP,,10.0,11.0,,,,,10.0,,,,,,,,
11,2021.0,6,Shivan,A Highly Linear Dual-Stage Amplifier With Beyond 1.75-THz Gain–Bandwidth Product,InP,DC-110,10.0,,,,,,21.0,,,,,,,,InP DHBT
12,2020.0,3,Nguyen,A Wideband Highly Linear Distributed Amplifier Using Intermodulation Cancellation Technique for Stacked-HBT Cell,InP,DC-90,15.0,22.0,,,20.0,,10.5,,,,,,,,
13,2017.0,6,Nguyen,A 1.5 – 88 GHz 19.5 dBm Output Power Triple Stacked HBT InP Distributed Amplifier,InP,,19.5,,,,,,16.0,,,,,,,,InP HBT
14,2017.0,6,Nguyen,A 1.5 – 88 GHz 19.5 dBm Output Power Triple Stacked HBT InP Distributed Amplifier,InP,,19.5,,,,,,16.0,,,,,,,,InP HBT
